Name,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Japanese VA,Funi English VA,Residence,Epithet,Age,Height,Blood Type,Bounty,Odex English VA,4Kids English VA,Origin,Alias,Real name,English Name,Type,Meaning,Size,Weight,First Appearance.1,Age at Death,Zombie Number,First appearance,Region,Gladiator Number,Features,Literal Meaning,Captain,Total Bounty,CP9 key,Affiliation,Completion Date,Affiliates
Andre,アンドレ,Andore,Andre,Chapter 558; Episode 479[1],Whitebeard Pirates[1],Pirate; Captain[1],Alive,May 19th[3],,,,,Over 30[2],,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjo,アンジョウ,Anjō,N/A,Chapter 1; We Are![1],,,Alive,January 1st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankoro,アンコロ,Ankoro,Ankoro,Chapter 606; Episode 525[1],Flying Pirates[1],Pet,Alive,November 23rd[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio,アントニオ,Antonio,Antonio,Chapter 497; Episode 391[1],Antonio's Graman[1],Store owner[1],Alive,January 21st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelandra,アフェランドラ,Aferandora,Aphelandra,Chapter 514; Episode 408[1],Kuja;[1] Kuja Pirates[2],"Warrior (Former),[1] Pirate[2]",Alive,August 1st[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramaki,アラマキ,Aramaki,Aramaki,Chapter 905; Episode 882[1],Marines[2],Admiral[2],Alive,,,,,,,,,,,,,"Ryokugyu (緑牛, Ryokugyū?, literally meaning ""Green Bull"")",,,,,,,,,,,,,,,,,,,,
Aremo Ganmi,アレモ・ガンミー,Aremo Ganmī,Peekatha Krotch[1],Chapter 707; Episode 636[2],Corrida Colosseum,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlong,アーロン,Āron,Arlong,Chapter 69; Episode 31[1],Arlong Pirates;[1] Sun Pirates (former);[2] Impel Down (former),Pirate;[3] Captain;[1] Prisoner of the Great Prison (former),Alive,May 3rd[5],,,Fish-Man District (former) Arlong Park (former),,39 (debut)41 (after timeskip)[4],"263 cm (8'7"")[6]",F[6],,,,,,,,,,,,,,,,,,,,,,,,,
Arthur,アーサー,Āsā,N/A,Chapter 556; Episode 472[1],Whitebeard Pirates[1],Pirate; Captain[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruyutayan V,アルユータヤン五世,Aruyūtayan Gosei,N/A,Chapter 292; Episode 189[1],Lvneel[1],King[1],Deceased,,,,,,,,,,,,North Blue,,,,,,,,,,,,,,,,,,,,,
Asahija,アサヒジャー,Asahijā,Heercomes Dasun,Chapter 483; Episode 375[1],Marines[1],Chief Petty Officer[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asashichi,麻七,Asashichi,N/A,Chapter 930; Episode 924[1],,Soba Shop Owner[1],Alive,,,,Wano Country (Flower Capital)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashura Doji,アシュラ童子,Ashura Dōji,Ashura Doji,Chapter 920; Episode 910[1],Mt. Atama Thieves;[2] Kozuki Family;[3] Nine Red Scabbards[4],Bandit;[5] Retainer of the Kozuki Family; Yakuza Boss (former);[6] Samurai[7],Deceased,April 10th[11],,,Wano Country (Kuri: Mt. Atama),,,"544 cm (17'10½"")[10]",X[11],,,,Grand Line (Wano Country),"Shutenmaru (酒天丸, Shutenmaru?)[5]",,,,,,,,56[9],,,,,,,,,,,,
Aswa,アスワ,Asuwa,N/A,Chapter 163; Episode 100[1],Neutral civilian,,Unknown,,,,Arabasta[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atagoyama,アタゴ山,Atagoyama,N/A,Chapter 915; Episode 902[1],,Sumo Wrestler[1],Alive,,,,Wano Country (Bakura Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmos,アトモス,Atomosu,Atmos,Chapter 553;[1] Episode 461[2],Whitebeard Pirates[1],13th Division Commander; Pirate[3],Alive,March 19th[4],,,,,,,,,,,West Blue[5],,,,,,,,,,,,,,,,,,,,,
Attach,アタッチ,Atatchi,Attach,SBS Volume 24; Chapter 436; Episode 321[1],World Economic Journal; Marines Photography Department (former)[2],Reporter; Marine Photography Department chief (former)[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalo Pizarro,アバロ・ピサロ,Abaro Pisaro,Avalo Pizarro,Chapter 575; Episode 484[1],Blackbeard Pirates[1]; Impel Down (former),Pirate[1]; one of the Ten Titanic Captains; Captain of the Fourth Ship; Prisoner of the Great Prison (former); King (former),Alive,September 30th[3],,,,,40 (debut)42 (after timeskip)[2],"505 cm (16'6"")[2]",X[2],,,,North Blue[2],,,,,,,,,,,,,,,,,,,,,
Azuki,あずき,Azuki,N/A,Chapter 940; Episode 936[1],,,Alive,,,,"Ebisu Town, Wano Country[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babanuki,ババヌキ,Babanuki,Babanuki,Chapter 934; Episode 930[1],Beasts Pirates[1]; Tama[2],Shinuchi; Warden of the Prisoner Mine[3],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babe,ベーブ,Bēbu,N/A,Chapter 160; Episode 103[1],New Spiders Cafe; Baroque Works[1] (former),Cafe Delivery Boy[2]; Officer Agent[1] (former),Alive,June 19th[4],,,,,28 (debut)30 (after timeskip)[3],"218 cm (7'2"")[3]",F[3],,,,Grand Line[3],"""Mr. 4"" (Mr. 4（ミスター・フォー）, Misutā Fō?)[1]",,,,,,,,,,,,,,,,,,,,
Baby 5,ベビー5,Bebī Faibu,Baby 5,Chapter 682; Episode 608[1],Happo Navy;[2] Chinjao Family;[3] Straw Hat Grand Fleet; Donquixote Pirates (defected),Pirate; Pirate Officer (former); Servant (former); Assassin (former),Alive,May 15th[5],,,Kuen Village (former); Spider Miles (former); Dressrosa (former),,24[4],"181 cm (5'11¼"")[6]",XF[6],,,,North Blue[6],,,,,,,,,,,,,,,,,,,,,
Bacura,バキュラ,Bakyura,"Bacura (Viz, FUNimation),Bakula (FUNimation subtitles)",Chapter 516; Episode 410[1],Kuja[1],Pet; Executioner[2],Alive,November 29th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baggaley,バガリー,Bagarī,Baggaly[1],Chapter 561; Episode 489[2],Whitebeard Pirates[2],Pirate; Captain[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakezo,バケゾー,Bakezō,Bazeko,Chapter 668; Episode 594[1],Marines; G-5[1],,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakkin,バッキン,Bakkin,Buckin,Chapter 802; Episode 752[1],,Pirate (former)[2],Alive,April 12th[4],,,,,76[3],"68 cm (2'3"")[3]",S[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Ban Dedessinée,バン・ドデシネ,Ban Dodeshine,N/A,Chapter 823; Episode 777[1],Levely[2],Queen[2],Alive,,,,Frauce Kingdom[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banchi,バンチ,Banchi,BunchiBunch (WT100)[1],Chapter 114; Episode 67[2],Baroque Works[3],Transportation,Alive,,,,,,,,,,,,West Blue[4],,,,,,,,,,,,,,,,,,,,,
Banchina,バンキーナ,Bankīna,Bankina[1],Chapter 41; Episode 17[2],,,Deceased,December 17th[3],,,,,,,,,,,East Blue (Syrup Village)[3],,,,,,,,,,,,,,,,,,,,,
Bankuro,バンクロ,Bankuro,Bancro,Chapter 967[1]; Episode 959[2],Roger Pirates[1],Pirate[1],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banshee,バンシー,Banshī,Banshee,Chapter 552; Episode 461[1],Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banzaburo,番三郎,Banzaburō,N/A,Chapter 960; Episode 960[1],Kozuki Family,Retainer of the Kozuki Family; Food taster,Deceased,,,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bao Huang,バオファン,Baofan,Bao Huang,Chapter 979; Episode 985[1],Beasts Pirates[1],Shinuchi; Mary; Scheduler[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bariete,バリエテ,Bariete,Bariete,Chapter 804; Episode 753[1],Mokomo Dukedom (Recon Squad); Ninja-Pirate-Mink-Samurai Alliance,Recon Squad[2]; Guard[3],Alive,,,,Zou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry,バリー,Barī,Barry,,Spade Pirates[1],Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartholomew Kuma,バーソロミュー・くま,Bāsoromyū Kuma,Bartholomew Kuma,Chapter 233; Episode 151[1],Seven Warlords of the Sea (former);[1] Revolutionary Army; Sorbet Kingdom (former),Pirate; Slave (former); Warlord of the Sea (former);[1] Revolutionary Officer (former);[2] King of Sorbet Kingdom (former),Alive,February 9th[7][8],,,,,45 (debut)[5]47 (after timeskip)[6],"689 cm (22'7"") (debut, after timeskip)[5]",X[9],,,,South Blue (Sorbet Kingdom)[9],"PX-0 (PX-0, Pīekkusu Zero?)[3]",,,,,,,,,,,,,,,,,,,,
Bartolomeo,バルトロメオ,Barutoromeo,Bartolomeo,Chapter 705;[1] Episode 633[2],Barto Club; his own Mafia Family (former);[3] Straw Hat Grand Fleet[4],Captain of the Second Ship of the Straw Hat Grand Fleet;[4] Pirate; Captain; Mafia Leader (former)[3],Alive,October 6th[6][8],,,,,24[6][7],"220 cm (7'3"")[6]",X[9],,,,East Blue[9],,,,,,,,,,,,,,,,,,,,,
Basil Hawkins,バジル・ホーキンス,Bajiru Hōkinsu,Basil Hawkins,Chapter 498; Episode 392[1],Hawkins Pirates;[1] Beasts Pirates[2],Pirate; Captain;[1] Shinuchi,Unknown,September 9th[5],,,,,29 (debut)[3]31 (after timeskip)[4],"210 cm (6'10½"") (debut, after timeskip)[3]",S[6],,,,North Blue[1],,,,,,,,,,,,,,,,,,,,,
Basilisk,バシリスク,Bashirisuku,Basilisk,Chapter 528; Episode 425[1],"World Government, Impel Down[1]",Level 2 Guardian[1],Alive,,,,,,,,,,,,West Blue[2],,,,,,,,,,,,,,,,,,,,,
Baskerville,バスカビル,Basukabiru,Baskerville,Chapter 379; Episode 267[1],World Government (Enies Lobby)[1],Chief Justices of Enies Lobby[1],Unknown,,,,,,Bas: 48[2]And: 53[2]Kerville: 42[2],"512 cm (16'9½"") (combined)[2]",Bas: X[2]And: XF[2]Kerville: F[2],,,,Grand Line[2],"""Princess"" (お姫さま, Ohime-sama?) *[1]",,,,,,,,,,,,,,,,,,,,
Bastille,バスティーユ,Basutīyu,Bastille,Chapter 553; Episode 462[1],Marines[1],Vice Admiral[1],Alive,July 14th[3],,,,,36 (debut)38 (after timeskip)[3],"291 cm (9'7"")[3]",F[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Batchee,バッチー,Batchī,Bacchy[1],Chapter 43; Episode 20[2],,,Unknown,July 1st[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman,バットマン,Battoman,Bat-Man,Chapter 914; Episode 900[1],Beasts Pirates[1],Gifter[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxcon,バクスコン,Bakusukon,Baxcon,Chapter 718; Episode 648[1],Tontatta Kingdom Scouting Unit[2]; Tontatta Pirates; Straw Hat Grand Fleet,Scout[2]; Pirate[3],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer VI,ビール6世,Bīru Rokusei,Beer VI,Chapter 823; Episode 777[1],,King of the Roshwan Kingdom[2],Alive,,,,Roshwan Kingdom[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell-mère,ベルメール,Berumēru,Belle-Mère (VIZ Media);Bellemere (Funimation),Chapter 77;[1] Episode 32[2],Marines (former),Mikan Farmer; Marine Officer (former),Deceased,December 3rd[4],,,Cocoyasi Village,,,"186 cm (6'1"")[5]",S[5],,,,East Blue (Cocoyasi Village)[5],,,,,,,,,30[3],,,,,,,,,,,,
Belladonna,ベラドンナ,Beradonna,Belladonna,Chapter 514; Episode 408[1],Kuja[1],Doctor[1][2],Alive,October 26th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellamy,ベラミー,Beramī,Bellamy,Chapter 222; Episode 146[1],Donquixote Pirates (former);[2] Bellamy Pirates[3] (former)[2],Dyer; Pirate (former); Captain[3] (former)[2],Alive,August 7th[5],,,Dressrosa (former)Notice (former),,25 (debut)27 (after timeskip)[6],"240 cm (7'10"")[6]",F[6],,,,,,,,,,,,,,,,,,,,,,,,,
Bellett,ベレット,Beretto,Beret[1],Chapter 537; Episode 439[2],Unnamed kingdom (former)[2],Pirate; Prince (former)[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belly,ベリー,Berī,Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belo Betty,ベロ・ベティ,Bero Beti,Belo Betty,Chapter 904; Episode 880[1],Revolutionary Army (East Army)[1],East Army Commander of the Revolutionary Army[1],Alive,June 15th[2],,,,,34[3],"196 cm (6'5"")[3]",XF[3],,,,East Blue[3],,,,,,,,,,,,,,,,,,,,,
Benn Beckman,ベン・ベックマン,Ben Bekkuman,Ben Beckman,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate;[1] First Mate[2],Alive,November 9th[3],,,,,38 (debut);48 (Chapter 1 to 597);50 (Chapter 598 and onwards)[4],"206 cm (6'9"")[4]",X[4],,,,North Blue[4],,,,,,,,,,,,,,,,,,,,,
Bentham,ベンサム,Bensamu,Bentham,Chapter 129; Episode 78[1],Newkama Land;[2] Baroque Works[3] (former),Queen of Newkama Land;[2] Officer Agent[3] (former); Prisoner of the Great Prison,Alive,August 15th[5],,,,,30 (debut)32 (after timeskip)[4],"238 cm (7'10"")[4]",F[4],,,,East Blue[4],"""Mr. 2 Bon Kurei"" (Mr. 2（ミスター・ツー）・ボン・クレー, Misutā Tsū Bon Kurē?, Official Translation: Mr. 2 Bon Clay)[3]",,,,,,,,,,,,,,,,,,,,
Bepo,ベポ,Bepo,Bepo,Chapter 498; Episode 392[1],Heart Pirates,Pirate; Navigator;[2] Guardians' helper[3],Alive,November 20th (Fur Day)[6],,,Zou (former)[4],,20 (debut)22 (after timeskip)[5],"240 cm (7'10"")[7]",S[7],,,,,,,,,,,,,,,,,,,,,,,,,
Bian,ビアン,Bian,Bian,Chapter 717; Episode 647[1],Tontatta Kingdom;[1] Tontatta Pirates; Straw Hat Grand Fleet[2],Leader of Pink Bee Squad;[3] Pirate[4],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Pan,ビッグパン,Biggu Pan,Big Bun (Viz);Big Pan (FUNimation),Chapter 309; Episode 210[1],Foxy Pirates; Groggy Monsters[1],Pirate; Combatant[2],Alive,May 25th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimine,ビミネ,Bimine,Bimine,Chapter 657 (cover)[1],,Mayor[2],Alive,,,,Pucci[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingo,びん豪,Bingō,Bingoh,Chapter 928; Episode 921[3],,Priest (former); Cooper (former)[1]; Graverobber (former)[2],Alive,,,,Wano Country[3] (Ebisu Town)[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishamon,ビシャ門,Bishamon,Bishamon[1],Chapter 931; Episode 925[2],Beasts Pirates;[3] Orochi Oniwabanshu (former); Kurozumi Family (former)[2],Ninja; Pirate[2],Alive,August 1st[4],,,"Flower Capital, Wano Country",,28[4],"182 cm (6'0"")[5]",XF[4],,,,Wano Country[4],,,,,,,,,,,,,,,,,,,,,
Biyo,ビヨ,Biyo,Beeyo (Viz);Biyo (Funimation subs),Chapter 658; Episode 583[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizarre,ビザール,Bizāru,Bizarre,Chapter 553; Episode 468[1],Subordinate of the Whitebeard Pirates[1],Pirate; Captain[1],Alive,February 3rd[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Maria,ブラックマリア,Burakkumaria,Black Maria,Chapter 977; Episode 982[1],Beasts Pirates (Tobiroppo),Shinuchi; Brothel owner[2],Alive,September 24th[3],,,Onigashima[2],,29[4],"820 cm (26'11"")[4]",S[3],,,,Wano Country[3],,,,,,,,,,,,,,,,,,,,,
Blackback,BB（ブラックバック）,Bībī (Burakkubakku),BB (Blackback),Chapter 805; Episode 754[1],Mokomo Dukedom; Guardians;[2] Ninja-Pirate-Mink-Samurai Alliance,Guardian[2],Alive,,,,Zou (Whale Forest)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blamenco,ブラメンコ,Buramenko,Blamenco,Chapter 553; Episode 461[1],Whitebeard Pirates[1],6th Division Commander; Pirate[1],Alive,February 5th[2],,,,,,,,,,,South Blue[3],,,,,,,,,,,,,,,,,,,,,
Blenheim,ブレンハイム,Burenhaimu,Blenheim,Chapter 553; Episode 461[1],Whitebeard Pirates[1],9th Division Commander[2]; Pirate[1],Alive,August 6th[3],,,,,,,,,,,Grand Line[4],,,,,,,,,,,,,,,,,,,,,
Blondie,ブロンディ,Burondi,Blondie,Chapter 558; Episode 468[1],Subordinate of the Whitebeard Pirates[1],Pirate; Captain[1],Alive,February 6th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Fan,ブルーファン,Burūfan,Bluefan,Chapter 516; Episode 410[1],Kuja; Kuja Pirates[1],Pirate[1],Alive,July 11th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Gilly,ブルー・ギリー,Burū Girī,Blue Gilly (Viz);Bluegilly (WT100)[1],Chapter 706; Episode 636[2],Ideo Pirates[3][4]; Straw Hat Grand Fleet,"Martial Artist, Pirate[4]",Alive,November 27th[5],,,,,24[6],"314 cm (10'3½"")[6]",S[6],,,,Grand Line[6],,,,,,,,,,,,,,,,,,,,,
Bluejam,ブルージャム,Burūjamu,Bluejam,Chapter 584; Episode 494[1],Bluejam Pirates[1],Pirate; Captain[1],Unknown,February 16th[3],,,,,42 (debut)[2],"261 cm (8'7"")[2]",X[2],,,,East Blue (Goa Kingdom)[2],,,,,,,,,,,,,,,,,,,,,
Blueno,ブルーノ,Burūno,Blueno,Chapter 325; Episode 230[1],CP0[2]; CP9[3] (former),Cipher Pol Agent[4]; Bartender (undercover)[5],Alive,April 20th[8],,,,,30 (debut)[6]32 (after timeskip)[7],"258 cm  (8'5½"")[9]",X[9],,,,North Blue[9],,,,,,,,,,,,,,,,,,,,,
Blumarine,ブルマリン,Burumarin,Bluemarine,Chapter 967[1]; Episode 959[2],Roger Pirates,Pirate,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boa Hancock,ボア･ハンコック,Boa Hankokku,Boa Hancock,Chapter 516;[1] Episode 409,Kuja; Kuja Pirates; Seven Warlords of the Sea (former);[1] Slavery (former)[2],Pirate; Captain; Empress of Amazon Lily; Warlord of the Sea (former); Slave (former),Alive,September 2nd[6][7],,,Amazon Lily,,29 (debut)[4]31 (after timeskip)[5],"191 cm (6'3½"") (debut, after timeskip)[4]",S[8],,,,Calm Belt (Amazon Lily)[8],,,,,,,,,,,,,,,,,,,,,
Boa Marigold,ボア・マリーゴールド,Boa Marīgōrudo,Boa Marigold,Chapter 516; Episode 409[1],Kuja; Kuja Pirates[1],Pirate; Ruler of Amazon Lily; Slave (Former)[2],Alive,September 5th[4],,,,,26 (debut)28 (after timeskip)[3],"432 cm (14'2"")[3]",S[3],,,,Grand Line (Amazon Lily)[3],,,,,,,,,,,,,,,,,,,,,
Boa Sandersonia,ボア・サンダーソニア,Boa Sandāsonia,Boa Sandersonia,Chapter 516; Episode 409[1],Kuja; Kuja Pirates[1],Pirate[1]; Ruler of Amazon Lily; Slave (Former)[2],Alive,September 3rd[4],,,,,28 (debut) 30 (after timeskip)[3],"453 cm (14'10"")[3]",S[3],,,,Grand Line (Amazon Lily)[3],,,,,,,,,,,,,,,,,,,,,
Bobbin,ボビン,Bobin,Bobbin,Chapter 651; Episode 571[1],Big Mom Pirates[1],Combatant,Unknown,,,,Whole Cake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Funk,ボビー・ファンク,Bobī Fanku,Bobby Funk,Chapter 704;[1] Episode 632[2],Mogaro Kingdom[3],Assassin,Alive,February 19th[4],,,,,33[5],"320 cm (10'6"")[5]",X[5],,,,Grand Line (Mogaro Kingdom)[5],,,,,,,,,,,,,,,,,,,,,
Bobomba,ボボンバ,Bobonba,Bobomba,Chapter 711; Episode 641[1],Tontatta Kingdom[1]; Tonta Corps; Straw Hat Grand Fleet,Pirate[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogard,ボガード,Bogādo,N/A,Chapter 92; Episode 68[1],Marines[1],Commissioned Marine Officer[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bomba,ボンバ,Bonba,N/A,Chapter 652[1]; Episode 589[2],Marines; G-5[1],Marine,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
